epoch,epoch_time,sampling_time,i_loss,n_loss,val_i_loss,val_kid,val_n_loss,,,,,,,,
0,111.2225366,2.215009689,0.424942553,0.212357923,2.453421593,0.545885026,0.790491879,,,,,,,,
1,43.76764011,2.186948538,0.28461054,0.167830616,2.219721317,0.549467027,0.724107921,,,,,,,,
2,43.82731342,2.231452227,0.272425056,0.161788031,1.71088779,0.548270106,0.598172188,,,,,,,,
3,44.97622275,2.196438074,0.26111716,0.157825559,1.30567801,0.512231886,0.456438452,,,,,,,,
4,45.02335668,2.209701061,0.258362353,0.155252174,0.915537953,0.478732854,0.337420523,,,,,,,,
5,44.93713379,2.202124834,0.255944997,0.153203741,0.620451927,0.474413693,0.253558278,,,,,,,,
6,44.92463779,2.196969986,0.253677428,0.15229322,0.451414824,0.339045852,0.201145723,,,,,,,,
7,44.96719575,2.188110113,0.249930307,0.151492193,0.34033969,0.235593602,0.173554584,,,,,,,,
8,46.03807068,2.218176126,0.248693913,0.15046899,0.288868636,0.169602796,0.158411905,,,,Average Sampling,,Average Training,,Min KID
9,45.31326246,2.21523428,0.248419866,0.149208605,0.259442776,0.113952659,0.151033163,,,,2.191747694,,44.42228404,,0.049473938
10,45.13612866,2.18926096,0.245388225,0.149296075,0.248541892,0.080535993,0.147666886,,,,,,,,
11,45.23092842,2.192893744,0.243168578,0.149140254,0.24024047,0.066417396,0.14555046,,,,,,,,
12,45.10196614,2.183639526,0.244891271,0.148493424,0.233755872,0.061847504,0.146942109,,,,,,,,
13,45.15363145,2.199038744,0.242864609,0.148199975,0.234753966,0.059665758,0.144613162,,,,,,,,
14,45.11393905,2.186124086,0.242851719,0.147479132,0.233508632,0.058493894,0.144093424,,,,,,,,
15,45.10435009,2.20086956,0.242661819,0.147411421,0.232810512,0.057446431,0.144754216,,,,,,,,
16,45.15176034,2.211200237,0.241230369,0.146703854,0.231677592,0.056742638,0.144179985,,,,,,,,
17,45.08937216,2.180017233,0.240428895,0.146993443,0.231733769,0.055312321,0.144468635,,,,,,,,
18,43.99922919,2.184340239,0.241550952,0.146010578,0.231503382,0.056049805,0.143865064,,,,,,,,
19,45.09085965,2.193640471,0.239136264,0.146467611,0.228909001,0.05511215,0.145797074,,,,,,,,
20,45.09703469,2.191439867,0.237651482,0.146438494,0.230579063,0.054778099,0.143251374,,,,,,,,
21,45.07244778,2.188657761,0.239786461,0.145957828,0.22968629,0.053693824,0.144750282,,,,,,,,
22,45.05037594,2.16992569,0.236828268,0.145975158,0.233603626,0.053183872,0.142870709,,,,,,,,
23,45.06082702,2.203301191,0.237904757,0.146009296,0.229016066,0.0519379,0.14340654,,,,,,,,
24,43.93785596,2.195064306,0.237945184,0.145333543,0.232076615,0.052656367,0.142928168,,,,,,,,
25,43.83315349,2.186949253,0.238674119,0.144725472,0.225757629,0.052474689,0.145144641,,,,,,,,
26,43.96791124,2.204355478,0.237111464,0.145434693,0.228160203,0.052557029,0.143723771,,,,,,,,
27,43.88512444,2.192975521,0.236623362,0.145008385,0.226799726,0.053608287,0.143907934,,,,,,,,
28,45.06972933,2.170135498,0.236557454,0.144430131,0.228968546,0.05283903,0.143244803,,,,,,,,
29,44.90229321,2.216159821,0.237023324,0.144826397,0.22939229,0.050805874,0.143341541,,,,,,,,
30,44.87252855,2.192256212,0.236803517,0.144368857,0.228823155,0.049535967,0.142662704,,,,,,,,
31,43.79736519,2.166009188,0.236351654,0.144714758,0.227273628,0.050032962,0.143900543,,,,,,,,
32,43.69315648,2.195086479,0.235119373,0.14454633,0.228794634,0.050155725,0.143161729,,,,,,,,
33,44.89095688,2.172296524,0.235000789,0.144351184,0.228979766,0.049473938,0.142426193,,,,,,,,
34,43.69595361,2.177191257,0.23512347,0.144157499,0.229263648,0.049974218,0.142223313,,,,,,,,
35,43.78175712,2.183362246,0.237239778,0.143243283,0.228350312,0.049521025,0.14248018,,,,,,,,
36,43.74118066,2.159686565,0.235935941,0.143665195,0.231379017,0.05152595,0.141292736,,,,,,,,
37,43.73042846,2.217942953,0.234710008,0.144216463,0.22845836,0.050281044,0.143392444,,,,,,,,
38,43.68729734,2.203690052,0.236048371,0.143086687,0.228512317,0.051234938,0.142860323,,,,,,,,
39,43.6793294,2.180636168,0.233690456,0.143701926,0.227623597,0.049765423,0.143371254,,,,,,,,
40,43.6777935,2.16618228,0.234803528,0.143405572,0.229454696,0.049826022,0.142817318,,,,,,,,
41,43.59825087,2.148746729,0.232878059,0.144163415,0.228410318,0.051579986,0.142799303,,,,,,,,
42,43.69847417,2.209148407,0.236431479,0.142570898,0.230240434,0.050934136,0.141993225,,,,,,,,
43,43.68037438,2.168958426,0.233867392,0.143424749,0.228187382,0.05006066,0.142647296,,,,,,,,
44,43.65754843,2.177504778,0.233757958,0.143101528,0.228088602,0.049597859,0.142321929,,,,,,,,
45,43.71888614,2.197571039,0.235477954,0.142195836,0.230332002,0.050359394,0.141562581,,,,,,,,
46,43.67378283,2.171951056,0.232863605,0.14325501,0.228434905,0.050018065,0.142630354,,,,,,,,
47,43.77441597,2.213396072,0.233060509,0.143401995,0.229221404,0.051726218,0.142275915,,,,,,,,
48,43.91220236,2.217155695,0.234687477,0.142560348,0.229745045,0.051099118,0.142167047,,,,,,,,
49,43.90648389,2.168458462,0.233616695,0.142426059,0.226857007,0.050692879,0.142623648,,,,,,,,
