epoch,epoch_time,sampling,i_loss,n_loss,val_i_loss,val_kid,val_n_loss,,,,,
0,132.9138043,2.204751968,0.231419265,0.093344532,2.282893419,0.59084779,0.736886203,,,,,
1,67.51445842,2.210151672,0.118927203,0.054184068,1.404622555,0.547067285,0.48951295,,,,,
2,67.18514943,2.19720149,0.099696539,0.045437653,0.702871382,0.446387619,0.256428093,,,,,
3,67.45770764,2.190682888,0.094012253,0.04177057,0.330125213,0.22227864,0.123716474,,,,,
4,67.47146249,2.201487303,0.087837324,0.039615408,0.159186363,0.204730839,0.064826891,,,,,
5,66.79521656,2.176876068,0.082823142,0.037271231,0.097558685,0.115163513,0.04079096,,,,,
6,66.52663326,2.204885483,0.080094613,0.035999995,0.072891928,0.044819199,0.032414779,,,,,
7,67.21386671,2.176755428,0.079619184,0.035594996,0.064789958,0.026029954,0.029191473,,,,,
8,67.01361895,2.192407608,0.075663432,0.03410323,0.061631471,0.019072663,0.02779654,,,,,
9,67.04525733,2.183782578,0.072976641,0.033051789,0.060355358,0.016217915,0.026822958,,,Average Sampling,Average Training,Minimum KID
10,66.12440443,2.183943987,0.073410913,0.032711528,0.059483949,0.017715042,0.02615528,,,2.190679693,66.11541112,0.016217915
11,66.06128502,2.19446063,0.071260355,0.032098431,0.056704257,0.018260872,0.025896549,,,,,
12,66.83195758,2.17492795,0.072324716,0.032250181,0.056187179,0.018396141,0.025441751,,,,,
13,66.05655122,2.181092262,0.070267461,0.031588987,0.054943677,0.019172033,0.025290331,,,,,
14,65.40289497,2.187999249,0.069587402,0.0310547,0.054312602,0.019251198,0.025006596,,,,,
15,65.74610305,2.192980051,0.068714857,0.030955862,0.055029232,0.018566299,0.024798825,,,,,
16,65.98168969,2.221716881,0.069342703,0.030741878,0.05350237,0.018170919,0.024666281,,,,,
17,66.19866967,2.198397875,0.068535767,0.030442419,0.054413568,0.017844426,0.024336725,,,,,
18,66.08374643,2.194513083,0.066752523,0.029861946,0.05360226,0.01823858,0.024257882,,,,,
19,65.88707733,2.173129797,0.066599742,0.029718485,0.05220025,0.018958332,0.024186291,,,,,
20,65.72123742,2.212190628,0.066678949,0.029853201,0.053412583,0.021561831,0.024064405,,,,,
21,65.87761855,2.194241285,0.066042103,0.02950583,0.051633604,0.020419858,0.023907231,,,,,
22,65.83261132,2.195637941,0.066387333,0.029442862,0.053011466,0.020152317,0.023811419,,,,,
23,65.82462454,2.180765867,0.066330075,0.029157886,0.051581424,0.02038349,0.023689646,,,,,
24,65.65762496,2.173052311,0.065159716,0.029073182,0.050829981,0.021048823,0.023710294,,,,,
25,65.42206359,2.174736977,0.064729154,0.028947819,0.051058453,0.019514075,0.023533486,,,,,
26,65.42359591,2.19301796,0.064917468,0.028725069,0.052014075,0.020669302,0.023300691,,,,,
27,66.00039291,2.217472076,0.064328186,0.028488157,0.05074257,0.02008253,0.023569673,,,,,
28,67.10319376,2.198376179,0.063276246,0.028333798,0.050682232,0.020448135,0.023261346,,,,,
29,65.79438019,2.18381381,0.064563364,0.028536107,0.051337861,0.021262927,0.023281794,,,,,
30,65.734303,2.193339348,0.064081855,0.028251586,0.051629722,0.020236049,0.023109054,,,,,
31,65.77097201,2.181061506,0.063901722,0.028522667,0.050463278,0.020985922,0.023222962,,,,,
32,65.46070218,2.195133924,0.063154295,0.028359802,0.050317798,0.019314645,0.023193151,,,,,
33,65.62352204,2.202590466,0.063257858,0.027899515,0.051628798,0.019892616,0.022987226,,,,,
34,65.80690312,2.17877984,0.063137583,0.027928844,0.050355736,0.018905321,0.023065189,,,,,
35,65.56987977,2.1790061,0.061850332,0.02766791,0.051018208,0.020932939,0.022827107,,,,,
36,66.04069328,2.207342863,0.062305659,0.027616732,0.050781596,0.020710045,0.022829888,,,,,
37,65.93118834,2.190893888,0.061158445,0.027551426,0.05119225,0.020675045,0.022833975,,,,,
38,65.67367768,2.169417381,0.061601054,0.027644178,0.050735831,0.019813521,0.022648653,,,,,
39,65.93835211,2.182902813,0.062226254,0.02763929,0.050931852,0.017061941,0.022627532,,,,,
40,65.27713704,2.185117006,0.062147349,0.02727613,0.051880322,0.020574251,0.022522878,,,,,
41,65.65595174,2.172873259,0.062276591,0.027448768,0.050650306,0.020744106,0.022615045,,,,,
42,65.937325,2.172062159,0.062109966,0.027456155,0.050390054,0.019805886,0.022683071,,,,,
43,65.96110845,2.185435534,0.062269077,0.027277704,0.05026212,0.020310754,0.022503408,,,,,
44,65.9698236,2.211700201,0.061020643,0.027143335,0.050630409,0.018735262,0.022523522,,,,,
45,65.77250099,2.196748257,0.060830403,0.027144739,0.049990967,0.020265207,0.022596486,,,,,
46,65.89169025,2.189217091,0.060382757,0.027093394,0.048739236,0.019133704,0.022481944,,,,,
47,65.88965416,2.21809721,0.060760383,0.027023664,0.049540959,0.019717978,0.022537986,,,,,
48,66.65204716,2.188939571,0.061145786,0.027310787,0.050466854,0.019213799,0.022400439,,,,,
49,65.84261942,2.167876959,0.059968967,0.026747093,0.049088079,0.017345555,0.022498535,,,,,
